Район,Адрес,Площадь (м²),Тип,Цена (руб.),Цена за м² (руб.),Комнат,Этаж,ЖК/Комплекс,Источник,Дата сбора,Примечание
,Иркутская ул. 14к1,24.7,Новостройка,4530000,183401,студия,5/20,ЖК Остров-сад,Яндекс.Недвижимость,2026-07-04,мкр. ДОК; сдача 4кв.2027
,Интернациональная ул. 199к9,42.5,Новостройка,6100000,143529,1,11/16,ЖК Юнион,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2025
,ул. Андрея Кореневского 3к2,79.2,Новостройка,10910000,137753,4,14/15,ЖК Домашний,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Сергея Свиридова 9к1,62.7,Новостройка,7550000,120415,2,1/4,ЖК Концепт.Озерный,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Тимофея Чаркова 93,51.3,Новостройка,9730000,189669,2,31/31,мкр. Звёздный,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2025
,ул. Игоря Комиссарова 19,49.7,Новостройка,8610000,173239,3,1/4,ЖК Эклипт,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ЖК Мотивы,23.9,Новостройка,4450000,186192,студия,8/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,,90.2,Новостройка,13724800,152160,3,20/24,Жилой квартал ФОРСО,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2028
,Краснооктябрьская ул. 4к1,143.8,Новостройка,14850000,103268,3,23/25,Квартал Октябрьский на Туре,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2025
,Сосьвинская ул. 31к1,52.6,Новостройка,6700000,127376,2,5/16,ЖК СВОЙ,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2028
,ул. Павла Фитина 3,112.1,Новостройка,13090000,116771,3,1/9,ЖК Зарека,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ЖК Окинава,82.2,Новостройка,11870000,144404,3,2/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ул. Пожарных и Спасателей 16,52,Новостройка,10710000,205962,1,17/23,ЖК Дивный квартал у озера,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2025
,ул. Муравленко 9к3,81.7,Новостройка,11870000,145288,3,3/8,Европейский квартал (Дом у озера),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ЖК Окинава,39.2,Новостройка,7330000,186990,1,10/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,Заполярная ул. 9/2,22,Новостройка,3643200,165600,студия,13/21,ЖК Меридиан Слобода,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Герцена 33,47.6,Новостройка,14720000,309244,1,4/5,ЖК Сикрет Плэйс,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,,36.1,Новостройка,7750000,214681,1,2/9,ЖК Дом на Ямской,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Евгения Войнова 8,78.3,Новостройка,13300000,169860,2,12/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
Винзили (пригород),п. Винзили,26.4,Новостройка,2850000,107955,студия,2/4,ЖК Сосновый,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,,76.8,Новостройка,13560000,176562,1,2/25,Клубный дом Секреты,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Мельникайте 42к1,39.1,Новостройка,7190000,183887,2,4/20,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Алексея Сергиенко 1,37.2,Новостройка,4980000,133871,1,2/8,ЖК Эпитеты,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,,58.6,Новостройка,8210000,140102,2,16/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
,ул. Евгения Войнова 8,76.5,Новостройка,10900000,142484,1,6/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Красина 4,123.9,Новостройка,48700000,393059,апартаменты,8/10,Апарт-отель Дом Форм,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
Кулаково (пригород),с. Кулаково ул. Заповедных Холмов 1,108.9,Новостройка,9380000,86134,2,1/4,ЖК Кипрея Квартиры,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ул. Юрия Рогачева 11к2,29.6,Новостройка,4800000,162162,1,6/17,ЖК Чаркова 72,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ул. Новосёлов 92,35.4,Новостройка,6500000,183616,1,3/16,ЖК Домашний,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2025
Лесобаза (пригород),мкр. Кедровый берег,46.1,Новостройка,5900000,127983,1,2/5,,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026; этаж уточнить
,Хабаровская ул.,40,Новостройка,6960000,174000,2,6/16,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,скидка; сдача 4кв.2027
,ул. Тимофея Кармацкого 17,65.5,Новостройка,8505000,129847,2,2/25,ЖК Этика,Яндекс.Недвижимость,2026-07-04,скидка 14%; сдача 4кв.2026
,ул. Циолковского 1,48.3,Новостройка,9979000,206605,1,9/23,Дом Темплин,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
,,67.2,Новостройка,9709200,144482,3,2/24,ЖК Айвазовский Сити,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 4кв.2027
,ул. 50 лет Октября 61к1,41.8,Новостройка,7560000,180861,2,6/25,ЖК Сердце Сибири,Яндекс.Недвижимость,2026-07-04,скидка 13%; сдача 4кв.2027
,ул. Ветеранов Труда 36к1,45.9,Новостройка,6450000,140523,1,6/9,ЖК SuperSky,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2025
,ул. Евгения Войнова 8,65.2,Новостройка,9000000,138037,2,6/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Новаторов 28,29,Новостройка,5260000,181379,студия,3/14,ЖК Новатор,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,Иркутская ул. 14к1,73.9,Новостройка,11480000,155345,4,15/20,ЖК Остров-сад,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 4кв.2027
,ул. Челюскинцев 5,23.5,Новостройка,10140000,431489,1,8/8,ЖК Челюскинцев,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Щербакова 2к4,144.7,Новостройка,36340000,251140,4,3/7,ЖК Вознесенский,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Игоря Комиссарова 14,26.8,Новостройка,5770000,215299,1,2/4,ЖК Эклипт,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ул. Юрия Рогачева 9к2,58.2,Новостройка,8110000,139347,2,20/24,ЖК Чаркова 72,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ул. Муравленко 9к1,111.3,Новостройка,14060000,126325,3,8/9,ЖК Европейский квартал,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2026
,ул. Сергея Свиридова 11к2,53.3,Новостройка,7110000,133396,2,3/4,ЖК Скандиа. Квартал у Озера,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Защитников Отечества 44,43.6,Новостройка,5800000,133028,2,2/19,ЖК Набережный квартал,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
Ембаево (пригород),с. Ембаево,70.7,Новостройка,8520000,120509,2,4/4,ЖК Ритмы,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ул. Андрея Приказнова 1,80,Новостройка,11180000,139750,3,14/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,,57.3,Новостройка,6650000,116056,2,3/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
,,47.6,Новостройка,6600000,138655,2,12/14,Жилой дом Концепт,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2027
,мкр. ДОК,38,Новостройка,5940000,156316,1,14/19,ЖК Приятное окружение,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Челюскинцев 5,39.8,Новостройка,18850000,473618,1,8/8,ЖК Челюскинцев,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Щербакова 2к3,62.6,Новостройка,16509947,263737,3,3/7,ЖК Вознесенский,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Игоря Комиссарова 21,63.2,Новостройка,13260000,209810,3,4/4,ЖК Эклипт,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ул. Сергея Свиридова 11к2,38.9,Новостройка,5355900,137684,1,4/4,ЖК Скандиа. Квартал у Озера,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 1кв.2026
,ул. Андрея Приказнова 1,40.8,Новостройка,6820000,167157,1,8/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Алматинская 10,70,Новостройка,9117600,130251,3,9/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Лесопарковая 22,38.3,Новостройка,6260000,163446,1,7/24,Городские кварталы Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,56.8,Новостройка,8010000,141021,2,6/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,47.2,Новостройка,6550000,138771,2,3/14,Жилой дом Концепт,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2027
,,64.1,Новостройка,9290000,144930,2,17/19,ЖК Приятное окружение,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Щербакова 2к6,122.8,Новостройка,26284726,214045,4,2/8,ЖК Вознесенский,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Муравленко 9к3,70.7,Новостройка,12290000,173833,2,7/8,Европейский квартал (Дом у озера),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ул. Заполярная 3,58.5,Новостройка,7600000,129915,2,12/15,ЖК Август,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ул. Полевая 93,83.2,Новостройка,10539000,126671,2,15/19,ЖК Плэй,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Ставропольская 1,38.2,Новостройка,6240000,163351,1,6/14,ЖК Ставропольская 1,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Интернациональная 199к9,29.1,Новостройка,4400000,151203,студия,6/16,ЖК Юнион,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2025
,ул. Газопромысловая 1к2,89.7,Новостройка,11290000,125864,3,13/17,Дом на Мысу,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2024
,ул. Краснооктябрьская 4,63.7,Новостройка,12500000,196232,2,7/17,Квартал Октябрьский на Туре,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ул. Пожарных и Спасателей 14,87.1,Новостройка,21500000,246843,3,17/23,ЖК Дивный квартал у озера,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2023
,ул. Холодильная 31к1,82.4,Новостройка,11550000,140170,3,2/14,ЖК Симфония,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Евгения Войнова 8,49.9,Новостройка,8950000,179359,1,10/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Мельникайте 42к1,55.7,Новостройка,8480000,152244,3,15/20,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,скидка 20%; сдача 4кв.2026
Гилевский (район),,79.9,Новостройка,9820000,122904,3,2/8,ЖК Эпитеты,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Алматинская 10,52.9,Новостройка,7935000,150000,3,19/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Лесопарковая 20,64.5,Новостройка,8680000,134574,2,11/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,29.9,Новостройка,5870000,196321,студия,4/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Игоря Комиссарова 18,57.8,Новостройка,9690000,167647,3,1/4,ЖК Эклипт,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ЖК Окинава,88.2,Новостройка,12450000,141156,3,8/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ул. Алматинская 10,70,Новостройка,9317600,133109,3,25/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Лесопарковая 20,83.3,Новостройка,10460000,125570,3,22/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
